Wall time,Step,Value
1701783722.834931,250000,-405.23126220703125
1701783726.493931,251000,-405.23126220703125
1701783730.2379286,252000,-405.23126220703125
1701783733.831927,253000,-405.23126220703125
1701783737.3939285,254000,-405.23126220703125
1701783740.604929,255000,-405.23126220703125
1701783743.923929,256000,-405.23126220703125
1701783752.602929,257000,-274.5476989746094
1701783756.0849278,258000,-274.5476989746094
1701783759.7889307,259000,-274.5476989746094
1701783763.4069316,260000,-274.5476989746094
1701783766.92793,261000,-274.5476989746094
1701783770.834929,262000,-274.5476989746094
1701783774.3549287,263000,-274.5476989746094
1701783777.710929,264000,-274.5476989746094
1701783781.3909307,265000,-274.5476989746094
1701783784.8249316,266000,-274.5476989746094
1701783793.3569286,267000,-348.7803039550781
1701783796.7019281,268000,-348.7803039550781
1701783800.1049285,269000,-348.7803039550781
1701783803.3239288,270000,-348.7803039550781
1701783806.6549299,271000,-348.7803039550781
1701783809.856929,272000,-348.7803039550781
1701783813.3889296,273000,-348.7803039550781
1701783816.5819292,274000,-348.7803039550781
1701783820.0379295,275000,-348.7803039550781
1701783823.4059284,276000,-348.7803039550781
1701783833.4389293,277000,-445.2252502441406
1701783837.050929,278000,-445.2252502441406
1701783840.9039314,279000,-445.2252502441406
1701783843.9559298,280000,-445.2252502441406
1701783847.0339289,281000,-445.2252502441406
1701783850.1909292,282000,-445.2252502441406
1701783853.920929,283000,-445.2252502441406
1701783856.8939312,284000,-445.2252502441406
1701783859.7769313,285000,-445.2252502441406
1701783862.7859297,286000,-445.2252502441406
1701783871.8899295,287000,47.86850357055664
1701783875.5509307,288000,47.86850357055664
1701783879.4383478,289000,47.86850357055664
1701783883.1913483,290000,47.86850357055664
1701783887.1593463,291000,47.86850357055664
1701783891.0003452,292000,47.86850357055664
1701783894.9213483,293000,47.86850357055664
1701783898.6276941,294000,47.86850357055664
1701783902.4796944,295000,47.86850357055664
1701783906.2926943,296000,47.86850357055664
1701783915.2138755,297000,30.515735626220703
1701783919.3198743,298000,30.515735626220703
1701783923.4478762,299000,30.515735626220703
1701783927.0428758,300000,30.515735626220703
1701783931.6088755,301000,30.515735626220703
1701783936.0438747,302000,30.515735626220703
1701783939.6838753,303000,30.515735626220703
1701783943.1868749,304000,30.515735626220703
1701783946.7708747,305000,30.515735626220703
1701783950.4988756,306000,30.515735626220703
1701783954.4218757,307000,30.515735626220703
1701783963.8738744,308000,-133.80592346191406
1701783967.5678747,309000,-133.80592346191406
1701783971.358876,310000,-133.80592346191406
1701783975.158876,311000,-133.80592346191406
1701783978.9148746,312000,-133.80592346191406
1701783982.7498744,313000,-133.80592346191406
1701783986.5488753,314000,-133.80592346191406
1701783990.1708748,315000,-133.80592346191406
1701783994.3348744,316000,-133.80592346191406
1701783998.3288763,317000,-133.80592346191406
1701784007.1500282,318000,-359.1015319824219
1701784010.4790294,319000,-359.1015319824219
1701784013.8010268,320000,-359.1015319824219
1701784017.3540277,321000,-359.1015319824219
1701784020.860038,322000,-359.1015319824219
1701784024.339039,323000,-359.1015319824219
1701784027.704039,324000,-359.1015319824219
1701784031.201038,325000,-359.1015319824219
1701784034.5930388,326000,-359.1015319824219
